[2026-02-25 16:10:12,665] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2026-02-25 16:14:08,620] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2026-02-25 16:14:08,629] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 62 become-leader and 0 become-follower partitions (state.change.logger)
[2026-02-25 16:14:08,629] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 62 partitions (state.change.logger)
[2026-02-25 16:14:08,753] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 62 partitions (state.change.logger)
[2026-02-25 16:14:08,761] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 62 partitions (state.change.logger)
[2026-02-25 16:14:08,764] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,769] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,774] INFO [Broker id=0] Leader orders-5 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 2149 with partition epoch 0, high watermark 2149, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,774] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,779] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,784] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,789] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,794] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,799] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,804] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,808] INFO [Broker id=0] Leader orders-4 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 2144 with partition epoch 0, high watermark 2144, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
